name,tn,fp,fn,tp,r2,precision,recall,mcc
Recursive,196,23,64,6,-0.6401174168297454,20.689655172413794,8.571428571428571,-0.027531822483491137
Nested,219,0,70,0,-0.3196347031963469,0.0,0.0,0.0
HigherOrder,206,13,59,11,-0.3573385518590997,45.83333333333333,15.714285714285714,0.15181056534757983
FunctionalCalls,180,39,26,44,-0.22537508153946484,53.01204819277109,62.857142857142854,0.42656266418081373
SideEffects,212,7,57,13,-0.20652315720808856,65.0,18.571428571428573,0.25953585676203406
ImperativeCalls,201,18,56,14,-0.39504240052185247,43.75,20.0,0.1608440936149937
FunctionalScoreLandkroon,191,28,32,38,-0.131115459882583,57.57575757575758,54.285714285714285,0.4235436627811128
ImperativeScoreLandkroon,203,16,53,17,-0.3007827788649704,51.515151515151516,24.285714285714285,0.22873158428815982
HasPointsLandkroon,190,29,33,37,-0.16881930854533578,56.060606060606055,52.85714285714286,0.40430378246930176
ParadigmScoreLandkroon,193,26,36,34,-0.16881930854533578,56.666666666666664,48.57142857142857,0.387645979526656
